TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8530
Serial Number:,8530172809
Test ID:,001
Test Abbreviation:,MANUAL_001
Start Date:,20-01-2020
Start Time:,13:01:38
Duration (dd:hh:mm:ss):,2:00:55:00
Log Interval (mm:ss):,00:30
Number of points:,5871
Notes:,

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.080
,Minimum:,0.028
,Time of Minimum:,14:44:38
,Date of Minimum:,20-01-2020
,Maximum:,1.970
,Time of Maximum:,07:57:38
,Date of Maximum:,22-01-2020

Calibration,Sensor:,AEROSOL
,Cal. date,14-07-2017

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
20-01-2020,13:02:08,0.041
20-01-2020,13:02:38,0.043
20-01-2020,13:03:08,0.043
20-01-2020,13:03:38,0.043
20-01-2020,13:04:08,0.042
20-01-2020,13:04:38,0.042
20-01-2020,13:05:08,0.041
20-01-2020,13:05:38,0.042
20-01-2020,13:06:08,0.045
20-01-2020,13:06:38,0.044
20-01-2020,13:07:08,0.042
20-01-2020,13:07:38,0.043
20-01-2020,13:08:08,0.044
20-01-2020,13:08:38,0.043
20-01-2020,13:09:08,0.043
20-01-2020,13:09:38,0.043
20-01-2020,13:10:08,0.044
20-01-2020,13:10:38,0.043
20-01-2020,13:11:08,0.043
20-01-2020,13:11:38,0.043
20-01-2020,13:12:08,0.042
20-01-2020,13:12:38,0.042
20-01-2020,13:13:08,0.042
20-01-2020,13:13:38,0.044
20-01-2020,13:14:08,0.044
20-01-2020,13:14:38,0.043
20-01-2020,13:15:08,0.044
20-01-2020,13:15:38,0.044
20-01-2020,13:16:08,0.043
20-01-2020,13:16:38,0.042
20-01-2020,13:17:08,0.042
20-01-2020,13:17:38,0.041
20-01-2020,13:18:08,0.042
20-01-2020,13:18:38,0.042
20-01-2020,13:19:08,0.042
20-01-2020,13:19:38,0.042
20-01-2020,13:20:08,0.042
20-01-2020,13:20:38,0.042
20-01-2020,13:21:08,0.042
20-01-2020,13:21:38,0.041
20-01-2020,13:22:08,0.040
20-01-2020,13:22:38,0.040
20-01-2020,13:23:08,0.038
20-01-2020,13:23:38,0.039
20-01-2020,13:24:08,0.039
20-01-2020,13:24:38,0.040
20-01-2020,13:25:08,0.040
20-01-2020,13:25:38,0.041
20-01-2020,13:26:08,0.042
20-01-2020,13:26:38,0.042
20-01-2020,13:27:08,0.041
20-01-2020,13:27:38,0.041
20-01-2020,13:28:08,0.042
20-01-2020,13:28:38,0.046
20-01-2020,13:29:08,0.048
20-01-2020,13:29:38,0.040
20-01-2020,13:30:08,0.039
20-01-2020,13:30:38,0.039
20-01-2020,13:31:08,0.037
20-01-2020,13:31:38,0.037
20-01-2020,13:32:08,0.037
20-01-2020,13:32:38,0.036
20-01-2020,13:33:08,0.035
20-01-2020,13:33:38,0.036
20-01-2020,13:34:08,0.036
20-01-2020,13:34:38,0.035
20-01-2020,13:35:08,0.035
20-01-2020,13:35:38,0.035
20-01-2020,13:36:08,0.036
20-01-2020,13:36:38,0.035
20-01-2020,13:37:08,0.035
20-01-2020,13:37:38,0.035
20-01-2020,13:38:08,0.035
20-01-2020,13:38:38,0.035
20-01-2020,13:39:08,0.036
20-01-2020,13:39:38,0.037
20-01-2020,13:40:08,0.036
20-01-2020,13:40:38,0.036
20-01-2020,13:41:08,0.037
20-01-2020,13:41:38,0.037
20-01-2020,13:42:08,0.035
20-01-2020,13:42:38,0.035
20-01-2020,13:43:08,0.035
20-01-2020,13:43:38,0.035
20-01-2020,13:44:08,0.035
20-01-2020,13:44:38,0.035
20-01-2020,13:45:08,0.035
20-01-2020,13:45:38,0.035
20-01-2020,13:46:08,0.034
20-01-2020,13:46:38,0.035
20-01-2020,13:47:08,0.036
20-01-2020,13:47:38,0.035
20-01-2020,13:48:08,0.036
20-01-2020,13:48:38,0.036
20-01-2020,13:49:08,0.036
20-01-2020,13:49:38,0.035
20-01-2020,13:50:08,0.036
20-01-2020,13:50:38,0.037
20-01-2020,13:51:08,0.036
20-01-2020,13:51:38,0.036
20-01-2020,13:52:08,0.036
20-01-2020,13:52:38,0.036
20-01-2020,13:53:08,0.037
20-01-2020,13:53:38,0.036
20-01-2020,13:54:08,0.037
20-01-2020,13:54:38,0.037
20-01-2020,13:55:08,0.036
20-01-2020,13:55:38,0.036
20-01-2020,13:56:08,0.036
20-01-2020,13:56:38,0.036
20-01-2020,13:57:08,0.036
20-01-2020,13:57:38,0.036
20-01-2020,13:58:08,0.036
20-01-2020,13:58:38,0.036
20-01-2020,13:59:08,0.036
20-01-2020,13:59:38,0.036
20-01-2020,14:00:08,0.037
20-01-2020,14:00:38,0.037
20-01-2020,14:01:08,0.038
20-01-2020,14:01:38,0.039
20-01-2020,14:02:08,0.038
20-01-2020,14:02:38,0.038
20-01-2020,14:03:08,0.037
20-01-2020,14:03:38,0.037
20-01-2020,14:04:08,0.037
20-01-2020,14:04:38,0.037
20-01-2020,14:05:08,0.037
20-01-2020,14:05:38,0.037
20-01-2020,14:06:08,0.035
20-01-2020,14:06:38,0.035
20-01-2020,14:07:08,0.036
20-01-2020,14:07:38,0.036
20-01-2020,14:08:08,0.035
20-01-2020,14:08:38,0.035
20-01-2020,14:09:08,0.035
20-01-2020,14:09:38,0.035
20-01-2020,14:10:08,0.035
20-01-2020,14:10:38,0.035
20-01-2020,14:11:08,0.035
20-01-2020,14:11:38,0.035
20-01-2020,14:12:08,0.035
20-01-2020,14:12:38,0.034
20-01-2020,14:13:08,0.035
20-01-2020,14:13:38,0.035
20-01-2020,14:14:08,0.035
20-01-2020,14:14:38,0.034
20-01-2020,14:15:08,0.034
20-01-2020,14:15:38,0.034
20-01-2020,14:16:08,0.032
20-01-2020,14:16:38,0.031
20-01-2020,14:17:08,0.030
20-01-2020,14:17:38,0.030
20-01-2020,14:18:08,0.030
20-01-2020,14:18:38,0.030
20-01-2020,14:19:08,0.031
20-01-2020,14:19:38,0.030
20-01-2020,14:20:08,0.031
20-01-2020,14:20:38,0.032
20-01-2020,14:21:08,0.031
20-01-2020,14:21:38,0.032
20-01-2020,14:22:08,0.030
20-01-2020,14:22:38,0.031
20-01-2020,14:23:08,0.031
20-01-2020,14:23:38,0.031
20-01-2020,14:24:08,0.031
20-01-2020,14:24:38,0.031
20-01-2020,14:25:08,0.030
20-01-2020,14:25:38,0.031
20-01-2020,14:26:08,0.030
20-01-2020,14:26:38,0.030
20-01-2020,14:27:08,0.031
20-01-2020,14:27:38,0.030
20-01-2020,14:28:08,0.030
20-01-2020,14:28:38,0.030
20-01-2020,14:29:08,0.030
20-01-2020,14:29:38,0.031
20-01-2020,14:30:08,0.031
20-01-2020,14:30:38,0.031
20-01-2020,14:31:08,0.031
20-01-2020,14:31:38,0.032
20-01-2020,14:32:08,0.032
20-01-2020,14:32:38,0.033
20-01-2020,14:33:08,0.032
20-01-2020,14:33:38,0.032
20-01-2020,14:34:08,0.032
20-01-2020,14:34:38,0.032
20-01-2020,14:35:08,0.031
20-01-2020,14:35:38,0.031
20-01-2020,14:36:08,0.030
20-01-2020,14:36:38,0.031
20-01-2020,14:37:08,0.030
20-01-2020,14:37:38,0.030
20-01-2020,14:38:08,0.030
20-01-2020,14:38:38,0.029
20-01-2020,14:39:08,0.030
20-01-2020,14:39:38,0.031
